date,Firm,Sample,Turnout,psoe,pp,vox,sumar,erc,jxcat20,pnc,bildu,cup,cc,bng,nap,emp,Lead,podemos,cs,ccnc,prc,upodemos,mas
2022-01-19,KeyData/Público[109],NA,67.9,25.8,31.2,15.1,NA,3.5,2.1,1.5,1.1,1,NA,NA,NA,NA,5.4,NA,1.70,?2,?1,10.325,2.63
2022-01-19,ElectoPanel/Electomanía[110],1209,NA,26.1,31.6,15,NA,2.6,2,1.7,1.3,0.8,NA,0.8,0.3,0.2,5.5,NA,2.41,0.50,0.21,11.028,1.74
2022-01-15,Ágora Integral/Canarias Ahora[111],1000,66.2,25.9,32.3,15,NA,3.7,1.7,1.6,1.1,1,NA,0.4,0.4,0.8,6.4,NA,0.70,0.42,0.31,11.726,2.23
2022-01-13,InvyMark/laSexta[112],NA,NA,27.1,29.8,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,0.9,NA,NA,10.2,2.9
2022-01-12,ElectoPanel/Electomanía[113],1032,NA,25.6,32.3,15,NA,2.6,2,1.6,1.3,0.8,NA,0.8,0.4,0.2,6.7,NA,2.31,0.50,0.21,10.827,1.73
2022-01-12,CIS (SocioMétrica)[b][114],3961,65.8,26.4,31.6,13.6,NA,2.2,1.4,1,0.9,0.7,NA,0.6,0.3,0.1,5.2,NA,1.9,0.2,0.2,12.3,1.8
2022-01-12,CIS[115][116][117],3961,NA,30.2,28.5,10,NA,2.2,1.4,0.8,0.8,0.7,NA,0.6,0.7,0.1,1.7,NA,2.92,0.20,0.21,14.241,1.72
2022-01-11,Hamalgama Métrica/VozPópuli[118],1000,NA,24.5,32.3,15.6,NA,3.1,2,1.5,1.2,0.9,NA,0.6,0.2,0.1,7.8,NA,1.60,0.52,0.21,9.623,2.63
2022-01-10,Simple Lógica/elDiario.es[119],1012,67.9,27,29.9,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,1.8,NA,NA,10.5,3.2
2022-01-05,ElectoPanel/Electomanía[120],1937,NA,26.2,32,14.9,NA,2.6,2,1.5,1.3,0.8,NA,0.8,0.4,0.2,5.8,NA,2.41,0.50,0.21,10.525,1.84
2022-01-04,GAD3/NIUS[121][122],1002,67,25.9,33.2,15.3,NA,2.6,2,1.3,1,0.7,NA,0.6,0.2,0.1,7.3,NA,1.00,0.41,0.21,10.122/24,1.62
