date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Popular_Unity_(Spain),"Union,_Progress_and_Democracy",Convergence_and_Union,EH_Bildu,Basque_Nationalist_Party,Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Galician_Nationalist_Bloc,Canarian_Coalition,Coalici%C3%B3_Comprom%C3%ADs,Citizens_(Spanish_political_party),Podemos_(Spanish_political_party),Democratic_Convergence_of_Catalonia,Democracy_and_Freedom,"Plural_Left_(Spain,_2011)",Lead,Amaiur
2014-01-15,CIS[417][418][419],2480,NA,32.1,26.6,NA,9.2,3.4,1.2,1.5,2.5,0.7,1,0.8,NA,NA,NA,NA,11.326,5.5,NA
2014-01-11,InvyMark/laSexta[420],NA,NA,28.5,23.4,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,5.1,NA
2014-01-10,Simple Lógica[401],1030,NA,28.1,22,NA,13,2.6,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,14.8,6.1,NA
2014-01-09,Metroscopia/El País[421][422],1200,65,32,33.5,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,1.5,NA
2014-01-07,Celeste-Tel/eldiario.es[423][424],1100,56.3,32.1,28.8,NA,7.7,2.3,1.6,1.3,2.2,0.9,0.9,1.1,1.3,NA,NA,NA,13.227/29,3.3,NA
2013-12-28,Sigma Dos/El Mundo[425],1000,NA,33.3,24.4,NA,9.8,3.6,NA,1.6,2.6,NA,NA,NA,NA,NA,NA,NA,14.7,8.9,NA
2013-12-20,InvyMark/laSexta[426],NA,NA,28.2,23.6,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,4.6,NA
2013-12-10,Simple Lógica[401],1044,NA,30.7,22.8,NA,13.6,2.8,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,14.1,7.9,NA
2013-12-05,Celeste-Tel/eldiario.es[427][428],1100,55.4,32,28.6,NA,7.8,2.3,1.7,1.3,2.3,0.9,0.9,1.1,1.3,NA,NA,NA,13.127/30,3.4,NA
2013-11-30,Metroscopia/El País[429][430],12000,65,33.9,31.5,NA,7.1,2.8,1.2,1.5,2.2,0.6,0.5,0.6,NA,NA,NA,NA,12.025,2.4,NA
2013-11-28,GESOP/El Periódico[431],1000,NA,29.5,25.1,NA,11.1,3,NA,NA,2.5,NA,NA,NA,4,NA,NA,NA,12.932/34,4.4,NA
2013-11-28,NC Report[432],955,NA,34.2,28.4,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,5.8,NA
2013-11-22,InvyMark/laSexta[433],NA,NA,28.4,23.3,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,5.1,NA
2013-11-14,Sigma Dos/El Mundo[434],1000,NA,30.6,27,NA,10.1,3.6,1.2,1.4,2.6,NA,NA,NA,NA,NA,NA,NA,13.4,3.6,NA
2013-11-14,GAD3/Antena 3[435][436],801,NA,33.1,28.5,NA,11.2,3.6,1.3,1.3,2.1,NA,NA,NA,NA,NA,NA,NA,9.216,7.4,NA
2013-11-13,Simple Lógica[401],1959,NA,30.9,21.7,NA,14.8,2.3,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,12.2,9.2,NA
2013-11-08,InvyMark/laSexta[437],NA,NA,28.2,23.1,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,5.1,NA
2013-11-07,Celeste-Tel[438],1100,55.1,31.8,28.2,NA,7.9,2.3,1.7,1.4,2.4,0.9,0.9,1.2,1.4,NA,NA,NA,13.327/30,3.6,NA
2013-11-04,MyWord/Cadena SER[439][440],1000,NA,27.1,22.7,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,4.4,NA
2013-10-31,DYM/El Confidencial[441],967,NA,32.5,21.2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,11.3,NA
2013-10-18,InvyMark/laSexta[442],NA,NA,27.2,23.4,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,3.8,NA
