date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),Vox_(political_party),Unidas_Podemos,Citizens_(Spanish_political_party),Republican_Left_of_Catalonia%E2%80%93Sovereigntists,M%C3%A1s_Pa%C3%ADs,Together_for_Catalonia_(2020),Basque_Nationalist_Party,EH_Bildu,Popular_Unity_Candidacy,Canarian_Coalition%E2%80%93New_Canaries,Galician_Nationalist_Bloc,Navarra_Suma,Regionalist_Party_of_Cantabria,Teruel_Existe,Lead,Together_for_Catalonia_(2017)
2021-09-09,ElectoPanel/Electomanía[116],1084,NA,25.7,28.6,16.2,10.3,3.3,3.3,3.4,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,2.9,NA
2021-09-03,ElectoPanel/Electomanía[117],1640,NA,25.3,28.1,16.3,10.5,3.4,3.4,3.6,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,2.8,NA
2021-09-02,Sigma Dos/El Mundo[118],1050,NA,24.4,29.1,14.9,10.3,3.1,3.4,4.1,2,1.9,NA,NA,NA,NA,NA,NA,NA,4.7,NA
2021-09-01,Data10/OKDiario[119],1000,NA,24.5,29.8,15.5,9.3,2.8,3.4,4.6,2.4,1.6,1.1,0.8,0.4,0.6,0.4,0.3,0.1,5.4,NA
2021-08-30,KeyData/Público[120],NA,63.9,25.3,28.8,15.1,9.7,3.3,3.7,3.7,2.2,1.7,1.2,1.1,0.6,NA,NA,NA,NA,3.5,NA
2021-08-30,Sigma Dos/Antena 3[121],NA,NA,24.8,28.9,14.7,9.8,2.9,3.3,4,2.1,1.9,NA,NA,NA,NA,NA,NA,NA,4.1,NA
2021-08-27,NC Report/La Razón[122][123],1000,63.8,25.3,30.1,14.7,9.3,2.7,3.3,3.4,2.4,1.6,1.2,NA,NA,NA,0.4,NA,NA,4.8,NA
2021-08-26,ElectoPanel/Electomanía[124],1422,NA,25,28.6,16.3,10,3.4,3.4,3.8,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,3.6,NA
2021-08-21,ElectoPanel/Electomanía[125],2208,NA,25,28.5,16.3,10.2,3.4,3.4,3.6,2.3,1.7,1.1,0.9,0.5,0.6,0.4,0.3,0.1,3.5,NA
2021-08-20,Celeste-Tel/Onda Cero[126][127],1100,64.1,25.7,29.7,14.8,9.7,3.5,3.2,4.5,2.3,1.5,1.1,0.9,0.4,0.7,0.4,0.2,0.1,4.0,NA
2021-08-13,ElectoPanel/Electomanía[128],1399,NA,25,28.6,16.3,10,3.4,3.4,3.8,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,3.6,NA
